,0
United Arab Emirates,268.87
Qatar,258.95
South Korea,243.07
Kuwait,203.14
Saudi Arabia,195.66
Bulgaria,192.78
Norway,186.98
Cyprus,177.45
China,164.95
Denmark,163.41
Sweden,162.06
Bahrain,152.66
Portugal,146.55
Australia,145.14
Switzerland,141.05
Croatia,140.34
United States,134.45
Luxembourg,126.22
Singapore,123.04
Netherlands,121.62
Greece,118.90
France,112.02
Oman,111.95
Finland,110.65
Taiwan,110.00
New Zealand,109.07
Canada,100.43
United Kingdom,99.97
Hong Kong (SAR),97.98
Germany,97.20
Malta,92.15
Belgium,91.74
Slovenia,88.60
Brunei,86.05
Austria,85.42
Romania,81.05
Maldives,80.66
Hungary,79.83
North Macedonia,78.99
Estonia,78.89
Lithuania,77.51
Japan,76.65
Latvia,76.47
Ireland,75.97
Czechia,74.86
Macau (SAR),73.82
Thailand,73.35
Suriname,72.30
Iraq,70.51
Israel,67.79
Spain,64.60
Italy,61.83
South Africa,58.55
Chile,58.51
Slovakia,57.27
Poland,56.63
Serbia,55.74
Albania,55.67
Montenegro,54.51
Dominican Republic,54.20
Turkey,50.96
Uruguay,49.25
Mexico,48.86
Mauritius,48.00
Vietnam,47.12
Philippines,46.36
Morocco,45.24
Jamaica,44.24
Malaysia,44.10
Georgia,44.09
Togo,43.31
Azerbaijan,42.62
Moldova,41.55
Trinidad and Tobago,38.72
Bosnia and Herzegovina,38.03
Brazil,36.94
Armenia,36.80
Iran,36.50
Botswana,35.81
Honduras,35.26
Costa Rica,34.61
Kosovo,34.48
Tunisia,34.27
Ethiopia,34.15
Russia,33.89
Kazakhstan,33.78
Angola,33.28
Fiji,32.81
Republic of the Union of Myanmar,31.42
Laos,31.38
Ukraine,31.15
Papua New Guinea,30.60
Jordan,30.21
Argentina,29.81
Egypt,29.15
Mozambique,28.81
Senegal,28.78
El Salvador,28.69
Lebanon,28.30
Kenya,27.84
Cambodia,27.75
Peru,27.68
Nicaragua,26.83
Guatemala,26.66
Kyrgyzstan,26.26
Nigeria,25.99
Indonesia,25.64
Panama,25.01
Ecuador,24.99
Uganda,24.22
Pakistan,23.69
Mongolia,22.88
Sri Lanka,22.81
Malawi,22.64
Nepal,22.53
Paraguay,22.44
Namibia,22.28
Cameroon,21.96
Haiti,21.95
Algeria,21.37
C̫te d'Ivoire,21.11
Sudan,20.91
Zimbabwe,20.86
Uzbekistan,20.76
India,20.10
Belarus,19.92
Bolivia,19.84
Syria,19.26
Zambia,18.32
Colombia,18.03
Somalia,17.96
Tajikistan,17.61
Yemen,17.52
DR Congo,17.35
Bangladesh,15.96
Cuba,15.03
Tanzania,14.56
Ghana,12.63
Libya,12.42
Venezuela,8.73
Afghanistan,8.55
Turkmenistan,4.23
